cas_number|chemical_name|ecotox_group|dtxsid
50602|3-[[(4,5-Dihydro-1H-imidazol-2-yl)methyl](4-methylphenyl)amino]phenol||DTXSID4023462
50635|N4-(7-Chloro-4-quinolinyl)-N',N'-diethyl-1,4-pentanediamine, Phosphate (1:2)||DTXSID7044681
50657|5-Chloro-N-(2-chloro-4-nitrophenyl)-2-hydroxybenzamide||DTXSID7040362
50668|6-Methylmercaptopurine||DTXSID50901654
50679|3-(2-Aminoethyl)-1H-indol-5-ol||DTXSID8075330
50691|D-Ribose||
50704|D-Glucitol||DTXSID5023588
50715|Alloxan||DTXSID5044946
50737|2,3,5-Trichlorobenzoic acid||DTXSID8074285
50759|2,3,4-Trichlorobenzoic acid||DTXSID3075331
50760|1H-Pyrrolo[2,1-i][1,4,7,10,13]oxatetraazacyclohexadecine, cyclic peptide deriv.||DTXSID9020031
50782|2-(Acetyloxy)benzoic acid||DTXSID5020108
50793|2,5-Dichlorobenzoic acid||DTXSID5024978
50817|L-Ascorbic acid||DTXSID5020106
50828|2,4,5-Trichlorobenzoic acid||DTXSID8075332
50840|2,4-Dichlorobenzoic acid||DTXSID0024977
50851|2-Hydroxy-4-methyl-benzoic acid||DTXSID30198166
50895|Thymidine||DTXSID5023661
50919|2'-Deoxy-5-fluorouridine||DTXSID3023057
50997|D-Glucose||DTXSID7022910
51036|5-[[2-(2-Butoxyethoxy)ethoxy]methyl]-6-propyl-1,3-benzodioxole|Endocrine Disrupting Chemicals (EDCs)|DTXSID1021166
51058|4-Aminobenzoic acid 2-(diethylamino)ethyl ester hydrochloride (1:1)||DTXSID1044435
51149|5-[1-[2-(2-Ethoxyethoxy)ethoxy]ethoxy]-1,3-benzodioxole||DTXSID5042376
51150|2-[(Hydroxyimino)methyl]-1-methylpyridinium chloride||DTXSID1023495
51172|1H-Benzimidazole||DTXSID8024573
51183|2,4,6-Tris(1-aziridinyl)-1,3,5-Triazine||DTXSID3026225
51207|5-Bromo-2,4(1H,3H)-pyrimidinedione||DTXSID2058758
51218|5-Fluoro-2,4(1H,3H)pyrionidinedione||DTXSID2020634
51241|4-(4-Hydroxy-3-iodophenoxy)-3,5-diiodobenzeneacetic acid||DTXSID2045232
51285|2,4-Dinitrophenol||DTXSID0020523
51309|4-[1-Hydroxy-2-[(1-methylethyl)amino]ethyl]1,2-benzenediol hydrochloride (1:1)||DTXSID6025486
51343|(1R,2R,4S,5S,7s)-9-Methyl-3-oxa-9-azatricyclo[3.3.1.0~2,4~]nonan-7-yl (2S)-3-hydroxy-2-phenylpropanoate||DTXSID6023573
51354|trans-4-Hydroxy-L-proline||
51365|3,5-Dichlorobenzoic acid||DTXSID4024981
51398|3,4,5-Trichlorobenzoic acid||DTXSID3075333
51401|3,4-[(1R)-2-Amino-1-hydroxyethyl]-1,2-benzenediol, (2R,3R)-2,3-Dihydroxybutanedioate (1:1)||DTXSID50148507
51412|4-[(1R)-2-Amino-1-hydroxyethyl]-1,2-benzenediol||DTXSID5023378
51423|4-[(1R)-1-Hydroxy-2-(methylamino)ethyl]-1,2-benzenediol (2R,3R)-2,3-dihydroxybutanedioate (1:1)||DTXSID3049415
51434|4-[(1R)-1-Hydroxy-2-(methylamino)ethyl]-1,2-benzenediol||DTXSID5022986
51445|3,4-Dichlorobenzoic acid||DTXSID9024980
51456|1H-Imidazole-5-ethanamine||DTXSID4023125
51489|O-(4-Hydroxy-3,5-diiodophenyl)-3,5-diiodo-L-tyrosine|Pharmaceutical Personal Care Products (PPCPs)|DTXSID8023214
51490|O-(4-Hydroxy-3,5-diiodophenyl)-3,5-diiodo-D-tyrosine||
51503|N-(2-Chloroethyl)-N-(phenylmethyl)benzenemethanamine||DTXSID20199001
51525|2,3-Dihydro-6-propyl-2-thioxo-4(1H)pyrimidinone||DTXSID5021209
51558|endo(+-)-alpha-(Hydroxymethyl)-8-methyl-8-azabicyclo[3.2.1]oct-3-yl ester  benzeneacetic acid||DTXSID4020113
51570|N,alpha-Dimethyl-d-phenethylamine hydrochloride||DTXSID8048864
51616|Dopamine||DTXSID6022420
51638|(alphaS)-alpha-Methylbenzeneethanamine sulfate (2:1)||DTXSID2057865
51649|(alphaS)-alpha-Methylbenzeneethanamine||DTXSID8022907
51650|4-Fluoro-DL-phenylalanine||DTXSID3025332
51672|4-(2-Aminoethyl)phenol||DTXSID2043874
51718|(2-Phenylethyl)hydrazine||DTXSID2041094
51752|2-Chloro-N-(2-chloroethyl)-N-methylethanamine||DTXSID2020975
51785|4-Aminophenol hydrochloride||DTXSID6058760
51796|Carbamic acid, Ethyl ester|Endocrine Disrupting Chemicals (EDCs)|DTXSID9021427
51832|2-[(Aminocarbonyl)oxy]-N,N,N-trimethylethanaminium chloride||DTXSID9022730
51843|2-(Acetyloxy)-N,N,N-trimethylethanaminium||DTXSID8075334
51923|N,N,N-Trimethylmethanaminium||DTXSID3048071
52017|(7alpha,17alpha)-7-(Acetylthio)-17-hydroxy-3-oxopregn-4-ene-21-carboxylic acid, gamma-Lactone|Pharmaceutical Personal Care Products (PPCPs)|DTXSID6034186
52211|(11beta)-21-(Acetyloxy)-11,17-dihydroxypregna-1,4-diene-3,20-dione||
52244|1,1',1''-Phosphinothioylidynetrisaziridine||DTXSID0021339
52266|(5alpha,6alpha)-7,8-Didehydro-4,5-epoxy-17-methyl-morphinan-3,6-diol, Hydrochloride (1:1)|Pharmaceutical Personal Care Products (PPCPs)|DTXSID10110023
52288|(5alpha,6alpha)-7,8-Didehydro-4,5-epoxy-3-methoxy-17-methylMorphinan-6-ol phosphate (1:1)||DTXSID0024844
52391|(11Beta)-11,21-Dihydroxy-3,20-dioxo-pregn-4-en-18-al||DTXSID7022419
52460|2,2,4,4,6,6-Hexahydro-2,2,4,4,6,6-hexakis(1-aziridinyl)-1,3,5,2,4,6-triazatriphosphorine||DTXSID7073149
52517|2-Bromo-2-nitro-1,3-propanediol||DTXSID8024652
52539|alpha-[3-[[2-(3,4-Dimethoxyphenyl)ethyl]methylamino]propyl]-3,4-dimethoxy-alpha-(1-methylethyl)benzeneacetonitrile|Pharmaceutical Personal Care Products (PPCPs)|DTXSID9041152
52608|Phosphorothioic acid O-[3,5-dimethyl-4-(methylthio)phenyl] O,O-diethyl ester||DTXSID3075335
52664|3-Mercaptovaline||DTXSID7044687
52675|3-Mercapto-D-valine||DTXSID6037069
52686|P-(2,2,2-Trichloro-1-hydroxyethyl)phosphonic acid dimethyl ester||DTXSID0021389
52857|O-[4[(Dimethylamino)sulfonyl]phenyl]O,O-dimethylester phosphorothioic acid||DTXSID7041966
52868|4-[4-(4-Chlorophenyl)-4-hydroxy-1-piperidinyl]-1-(4-fluorophenyl)-1-butanone||DTXSID4034150
52891|L-Cysteine hydrochloride||DTXSID0020367
52904|L-Cysteine||DTXSID8022876
53032|17,21-Dihydroxypregna-1,4-diene-3,11,20-trione|Pharmaceutical Personal Care Products (PPCPs)|DTXSID4021185
53065|17,21-Dihydroxy-pregn-4-ene-3,11,20-trione||DTXSID5022857
53167|3-Hydroxyestra-1,3,5(10)trien-17-one||DTXSID4022367
53190|1-Chloro-2-[2,2-dichloro-1-(4-chlorophenyl)ethyl]benzene|DDT and metabolites|DTXSID9020372
53214|(1R,2R,3S,5S)-3-(Benzoyloxy)-8-methyl-8-azabicyclo[3.2.1]octane-2-carboxylic acid methyl ester hydrochloride (1:1)||DTXSID2048903
53418|(3 alpha,5 alpha)-3-Hydroxyandrostan-17-one||DTXSID3036525
53430|(3beta)-3-Hydroxyandrost-5-en-17-one||DTXSID4020379
53576|Adenosine 5'-(trihydrogen diphosphate), 2'-(dihydrogen phosphate), 5'->5'-ester with 1,4-dihydro-1-beta-D-ribofuranosylnicotinamide||
53598|2'-(Dihydrogen phosphate)adenosine 5'-(trihydrogen diphosphate)P'-5'-ester with 3-(aminocarbonyl)-1-beta-D-ribofuranosylpyridinium, inner salt||
53601|N,N-Dimethyl-10H-phenothiazine-10-propanamine hydrochloride (1:1)||DTXSID4046949
53703|Dibenz(a,h)anthracene|Polyaromatic Hydrocarbons (PAHs)|DTXSID9020409
53792|3'-[[(2S)-2-Amino-3-(4-methoxyphenyl)-1-oxopropyl]amino]-3'-deoxy-N,N-dimethyladenosine ||DTXSID8036788
53849|Adenosine 5'-(trihydrogen diphosphate), P'->5'-Ester with 3-(aminocarbonyl)-1-?-D-ribofuranosylpyridinium, Inner salt||DTXSID2045236
53861|1-(4-Chlorobenzoyl)-5-methoxy-2-methyl-1H-indole-3-acetic acid|Pharmaceutical Personal Care Products (PPCPs)|DTXSID9020740
53952|N-9H-Fluoren-2-yl-N-hydroxyacetamide||
53963|N-9H-Fluoren-2-ylacetamide||DTXSID0039227
54057|N4-(7-Chloro-4-quinolinyl)-N1,N1-diethyl-1,4-pentanediamine||DTXSID2040446
54115|3-[(2S)-1-Methyl-2-pyrrolidinyl]pyridine||DTXSID1020930
54126|Tryptophan (Generic)||DTXSID0021418
54217|2-Hydroxybenzoic acid, Sodium salt (1:1)||DTXSID5021708
54251|2-beta-D-Ribofuranosyl-1,2,4-triaine-3,5(2H,4H)-dione||DTXSID20960091
54284|[2R-[2R*(4R*,8R*)]]-3,4-Dihydro-2,7,8-trimethyl-2-(4,8,12-trimethyltridecyl)-2H-1-benzopyran-6-ol||DTXSID9049031
54319|5-(Aminosulfonyl)-4-chloro-2-[(2-furanylmethyl)amino]benzoic acid|Pharmaceutical Personal Care Products (PPCPs)|DTXSID6020648
54320|4-[2-(Dimethylamino)ethoxy]-2-methyl-5-(propan-2-yl)phenyl acetate||DTXSID4023339
54353|(2S,5R,6R)-3,3-Dimethyl-7-oxo-6-[(2-phenylacetyl)amino]-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid compd. with 2-(diethylamino)ethyl 4-aminobenzoate (1:1)||
54364|2-Methyl-1,2-di-3-pyridinyl-1-propanone||DTXSID1023314
54626|N-[4-[[(2,4-Diamino-6-pteridinyl)methyl]amino]benzoyl]-L-glutamic acid||DTXSID3022588
54648|Sodium ethyl[2-(sulfanyl-kappaS)benzoato(2-)]mercurate(1-)|Mercury|DTXSID3025540
54717|(3S-cis)-3[Ethyldihydro-4-[(1-methyl-1H-imidazo1-5-yl)methyl]-2(3H)-furanone monohydrochloride||DTXSID2041096
54773|1,1-Dimethyl-4-phenylpiperazin-1-ium iodide||DTXSID90968822
54853|4-Pyridine carboxylic acid, Hydrazide||DTXSID8020755
54875|1-[[(5-Nitro-2-furanyl)methylene]amino]-2,4-imidazolidinedione sodium salt||
54922|N'-(Propan-2-yl)pyridine-4-carbohydrazide||
54955|6,7,8,9-Tetrahydro-5H-tetrazolo[1,5-a]azepine||DTXSID7041091
55038|O-(4-Hydroxy-3,5-diiodophenyl)-3,5-diiodo-L-tyrosine, Monosodium salt||DTXSID90883228
55061|O-(4-Hydroxy-3-iodophenyl)-3,5-diiodo-L-tyrosine sodium salt (1:1)||DTXSID8047505
55163|alpha-(Hydroxymethyl)benzeneacetic acid, (alphaS)-(1alpha,2beta,4beta,5alpha,7beta)-9-Methyl-3-oxa-9-azatricyclo[3.3.1.02,4]non-7-yl ester, Hydrochloride (1:1)||DTXSID6044692
55185|N-Ethyl-N-nitrosoethanamine|Nitrosamines|DTXSID2021028
55210|Benzamide||DTXSID0021709
55221|4-Pyridinecarboxylic acid||DTXSID8020757
55276|dL-Noradrenaline hydrochloride||
55312|4-[(1R)-1-Hydroxy-2-(methylamino)ethyl]-1,2-benzenediol hydrochloride (1:1)||DTXSID1020568
55378|Phosphorothioic acid O-[3,5-dimethyl-4-(methylthio)phenyl] O,O-dimethylester||DTXSID8075336
55389|O,O-Dimethyl O-[3-methyl-4-(methylthio)phenyl]ester phosphorothioic acid||DTXSID8020620
55436|N-(2-Chloroethyl)-N-(phenylmethyl)benzenemethanamine hydrochloride (1:1)||DTXSID3075337
55481|Benzeneacetic acid alpha-(hydroxymethyl)-(3-endo)-8-methyl-8-azabicyclo[3.2.1]oct-3-yl ester sulfate (2:1) (salt)||DTXSID3049419
55550|4-Methylaminophenol sulfate||DTXSID6025565
55561|N,N''-Bis(4-chlorophenyl)-3,12-diimino-2,4,11,13-tetraazatetradecanediimidamide||DTXSID2033314
55630|1,2,3-Propanetriol, 1,2,3-Trinitrate|Endocrine Disrupting Chemicals (EDCs);Pharmaceutical Personal Care Products (PPCPs)|DTXSID1021407
55685|(Nitrato-kappaO)phenylmercury|Mercury|DTXSID6044569
55812|4-Methoxybenzeneethanamine||DTXSID6058764
55867|2-Chloro-N-(2-chloroethyl)-N-methylethanamine hydrochloride||DTXSID8025757
55914|Phosphorofluoridic acid bis(1-methylethyl)ester||DTXSID1040667
55936|2,5-Hexanediol, Dimethyl sulfonate||
55970|N1,N1,N1,N6,N6,N6-Hexamethyl-1,6-hexanediaminium bromide (1:2)||DTXSID50883229
55981|1,4-Butanediol, 1,4-Dimethanesulfonate||DTXSID3020910
56031|Imidodicarbonimidic diamide||
56042|2,3-Dihydro-6-methyl-2-thioxo-4(1H)-pyrimidinone||DTXSID2020890
56064|2,6-Diaminopyrimidin-4(1H)-one||DTXSID4049038
56100|2-Aminoethyl ester carbamimidothioic acid dihydrobromide||DTXSID1058765
56122|4-Aminobutanoic acid||DTXSID6035106
56144|Butanedioic acid, Ion(2-)||DTXSID4036772
56177|2,2'-Dithiobisethanamine dihydrochloride||DTXSID6058766
56235|Tetrachloromethane|Endocrine Disrupting Chemicals (EDCs)|DTXSID8020250
56246|Trimethyltin hydroxide|Organotin|DTXSID9032240
56257|(3aR,4S,7R,7aS)-rel-Hexahydro-3a,7a-dimethyl-4,7-epoxyisobenzofuran-1,3-dione||DTXSID7041752
56291|5-(1-Cyclohexen-1-yl)-1,5-dimethyl-2,4,6(1H,3H,5H)-pyrimidinetrione||DTXSID9023122
56348|N,N,N-Triethylethanaminium chloride||DTXSID6041137
56359|1,1,1,3,3,3-Hexabutyldistannoxane|Organotin|DTXSID9020166
56360|(Acetyloxy)tributylstannane|Organotin|DTXSID7043954
56371|N-Benzyl-N,N-diethylethanaminium chloride||DTXSID9021710
56382|Phosphorothioic acid, O,O-Diethyl-O-(4-nitrophenyl)ester||DTXSID7021100
56406|Glycine||DTXSID9020667
56417|L-Alanine||DTXSID20873899
56451|L-Serine||DTXSID60883230
56495|3-Methyl-1,2-dihydrocyclopenta[ij]tetraphene||DTXSID0020862
56531|4,4'-[(1E)-1,2-Diethyl-1,2-ethenediyl]bisphenol||DTXSID3020465
56542|(9S)-6'-Methoxycinchonan-9-ol||DTXSID4023549
56553|Benz[a]anthracene|Polyaromatic Hydrocarbons (PAHs)|DTXSID5023902
56575|4-Nitroquinoline 1-oxide||DTXSID5025780
56655|Adenosine 5'-(tetrahydrogen triphosphate)||DTXSID6022559
56699|5-Hydroxytryptophan||DTXSID50859863
56724|Phosphorothioic acid O-(3-chloro-4-methyl-2-oxo-2H-1-benzopyran-7-yl) O,O-diethyl ester|Endocrine Disrupting Chemicals (EDCs)|DTXSID2020347
56757|2,2-Dichloro-N-[(1R,2R)-2-hydroxy-1-(hydroxymethyl)-2-(4-nitrophenyl)ethyl]acetamide||DTXSID7020265
56815|1,2,3-Propanetriol||DTXSID9020663
56826|2,3-Dihydroxypropanal||DTXSID90861586
56848|L-Aspartic acid||DTXSID7022621
56859|L-Glutamine||DTXSID1023100
56860|L-Glutamic acid||DTXSID5020659
56871|L-Lysine||DTXSID6023232
56893|L-Cystine||DTXSID2046418
56928|2-(1H-Imidazol-4-yl)ethan-1-amine--hydrogen chloride (1/2) ||DTXSID1058767
56939|N,N,N-Trimethylbenzenemethanaminium, Chloride||DTXSID8024600
56951|N,N''-Bis(4-chlorophenyl)-3,12-diimino-2,4,11,13-tetraazatetradecanediimidamide, Diacetate||DTXSID7032345
56973|1,1'-(1,3-Propanediyl)bis[4-[(hydroxyimino)methyl]pyridinium dibromide||DTXSID101036063
57001|N-Aminoimino methyl)N-methylglycine||
57067|3-Isothiocyanato-1-propene||DTXSID3020047
57090|N,N,N-Trimethylhexadecan-1-aminium bromide||DTXSID5037028
57103|Hexadecanoic acid||DTXSID2021602
57114|Octadecanoic acid||DTXSID8021642
57125|Cyanide|Cyanide|DTXSID6023991
57136|Urea||DTXSID4021426
57147|1,1-Dimethylhydrazine||DTXSID1020516
57158|1,1,1-Trichloro-2-methyl-2-propanol||DTXSID1041217
57227|22-Oxovincaleukoblatine||DTXSID1032278
57249|Strychnidin-10-one||DTXSID6023600
57272|(5alpha,6alpha)-7,8-Didehydro-4,5-epoxy-17-methylmorphinan-3,6-diol|Pharmaceutical Personal Care Products (PPCPs)|DTXSID9023336
57294|(5 alpha, 6 alpha)-7,8-Didehydro-4,5-epoxy-17-(2-propenyl)morphinan-3,6-diol hydrochloride||
57307|5-Ethyl-5-phenyl-2,4,6(1H,3H,5H)-pyrimidinetrione sodium salt (1:1)||DTXSID0021123
57330|5-Ethyl-5-(1-methylbutyl)-2,4,6(1H,3H,5H)-pyrimidinetrione sodium salt (1:1)||DTXSID9021712
57396|1,1',1''-Phosphinylidynetris[2-methyl]aziridine||DTXSID5020815
57410|5,5-Diphenyl-2,4-imidazolidinedione||DTXSID8020541
57432|Amobarbital||DTXSID9020081
57443|5,5-Diethyl-2,4,6(1H,3H,5H)-pyrimidinetrione||DTXSID5022643
57476|(3aS,8aR)-1,2,3,3a,8,8a-Hexahydro-1,3a,8-trimethylpyrrolo[2,3-b]indol-5-ol methylcarbamate (ester)||DTXSID3023471
57487|D-Fructose||DTXSID5023081
57501|alpha-D-Glucopyranoside, beta-D-Fructofuranosyl||DTXSID2021288
57523|3,3,7,7-Tetraethyl-4,6-dioxa-5-thia-3,7-distannanonane, 5,5-Dioxide||DTXSID8075338
57534|2-Methyl-2-propyl-1,3-propanediol dicarbamate||DTXSID3023261
57556|1,2-Propanediol|Glycol Ethers|DTXSID0021206
57567|Semicarbazide||DTXSID7043823
57578|2-Oxetanone||DTXSID8021197
57603|2-Oxopropanoic acid, Ion(1-)||DTXSID50205604
57625|(4S,4aS,5aS,6S,12aS)-7-Chloro-4-(dimethylamino)-1,4,4a,5,5a,6,11,12a-octahydro-3,6,10,12,12a-pentahydroxy-6-methyl-1,11-dioxo-2-naphthacenecarboxamide||DTXSID9022811
57636|(17alpha)-19-Norpregna-1,3,5(10)-trien-20-yne-3,17-diol|Pharmaceutical Personal Care Products (PPCPs)|DTXSID5020576
57647|2-Hydroxybenzoic acid compd. with (3aS-cis)-1,2,3,3a,8,8a-Hexahydro-1,3a,8-trimethylpyrrolo[2,3-b]indol-5-yl methylcambamate (1:1)||DTXSID80883232
57669|4-[(Dipropylamino)sulfonyl]benzoic acid||DTXSID9021188
57670|4-Amino-N-(aminoiminomethyl)benzenesulfonamide||DTXSID1023609
57681|4-Amino-N-(4,6-dimethyl-2-pyrimidinyl)benzenesulfonamide||DTXSID6021290
57716|2,3-Butanedione, Monooxime||DTXSID7024669
57749|1,2,4,5,6,7,8,8-Octachloro-2,3,3a,4,7,7a-hexahydro-4,7-methano-1H-indene||DTXSID7020267
57830|Pregn-4-ene-3,20-dione|Pharmaceutical Personal Care Products (PPCPs)|DTXSID3022370
57852|(17beta)-17-(1-Oxopropoxy)androst-4-en-3-one||DTXSID9036515
57874|(3beta,22E)-Ergosta-5,7,22-trien-3-ol||DTXSID90878679
57885|3 beta-Cholest-5-en-3-ol||DTXSID3022401
57910|(17alpha.)-Estra-1,3,5(10)-triene-3,17-diol ||DTXSID8022377
57921|O-2-Deoxy-2-(methylamino)-alpha-L-glucopyranosyl-(1->2)-O-5-deoxy-3-C-formyl-alpha-L-lyxofuranosyl-(1->4)-N1,N3-bis(aminoiminomethyl)-D-streptamine||DTXSID4023597
57943|(13aR,25aS)-2,3,13a,14,15,16,25,25a-Octahydro-9,19-dihydroxy-18,29-dimethoxy-1,14,14-trimethyl-13H-4,6:21,24-dietheno-8,12-metheno-1H-pyrido[3',2':14,15][1,11]dioxacycloeicosino[2,3,4-ij]isoquinolinium chloride, Hydrochloride||
57954|(13aR,25aS)-2,3,13a,14,15,16,25,25a-Octahydro-9,19-dihydroxy-18,29-dimethoxy-1,14,14-trimethyl-13H-4,6:21,24-Dietheno-8,12-metheno-1H-pyrido[3',2':14,15][1,11]dioxacycloeicosino[2,3,4-ij]isoquinolinium||DTXSID0048393
57976|7,12-Dimethylbenz[a]anthracene||DTXSID1020510
58004|(6aR)-5,6,6a,7-Tetrahydro-6-methyl-4H-dibenzo[de,g]quinoline-10,11-diol||DTXSID8022614
58082|3,7-Dihydro-1,3,7-trimethyl-1H-purine-2,6-dione||DTXSID0020232
58140|Pyrimethamine||DTXSID9021217
58151|4-(Dimethylamino)-1,2-dihydro-1,5-dimethyl-2-phenyl-3H-pyrazol-3-one||DTXSID7020504
58184|(17beta)-17-Hydroxy-17-methylandrost-4-en-3-one||DTXSID1033664
58220|(17beta)-17-Hydroxyandrost-4-en-3-one|Pharmaceutical Personal Care Products (PPCPs)|DTXSID8022371
58253|7-Chloro-N-methyl-5-phenyl-3H-1, 4-benzodiazepin-2-amine 4-oxide|Pharmaceutical Personal Care Products (PPCPs)|
58275|2-Methyl-1,4-naphthalenedione||DTXSID4021715
58286|10,11-Dihydro-N-methyl-5H-dibenz[b,f]azepine-5-propanamine monohydrochloride||DTXSID9046942
58322|2,2',2'',2'''-{[4,8-Di(piperidin-1-yl)pyrimido[5,4-d]pyrimidine-2,6-diyl]dinitrilo}tetra(ethan-1-ol)||DTXSID6040668
58366|10,10'-Oxybis-10H-phenoxarsine|Arsenic|DTXSID0032443
58402| N,N-Dimethyl-10H-phenothiazine-10-propanamine||
58548|2-[2,3-Dichloro-4-(2-methylene-1-oxobutyl)phenoxy]acetic acid||DTXSID3025257
58559|3,7-Dihydro-1,3-dimethyl-1H-purine-2,6-dione|Pharmaceutical Personal Care Products (PPCPs)|DTXSID5021336
58560|5-Hydroxy-6-methyl-3,4-pyridinedimethanol, Hydrochloride||DTXSID1040792
58582|3'-[[(2S)-2-Amino-3-(4-methoxyphenyl)-1-oxopropyl]amino]-3'-deoxy-N,N-dimethyladenosine, Hydrochloride (1:2)||
58617|Adenosine||DTXSID1022558
58639|Inosine||DTXSID2045993
58640|Adenosine 5'-(trihydrogen diphosphate)||DTXSID60883210
58684|Adenosine 5'-(trihydrogen diphosphate), P'->5'-ester with 1,4-dihydro-beta-D-ribofuranosyl-3-pyridinecarboxamide||
58719|(6Rtrans)-3-[(Acetylyloxy)methyl]-8-oxo-7-[(2-thienylacetyl)amino]-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid monosodium salt||
58731|2-(Diphenylmethoxy)-N,N-dimethylethanamine|Pharmaceutical Personal Care Products (PPCPs)|DTXSID4022949
58742|1-[(3,4-Dimethoxyphenyl)methyl]-6,7-dimethoxyisoquinoline||
58855|(3aS,4S,6aR)-Hexahydro-2-oxo-1H-thieno[3,4-d]imidazole-4-pentanoic acid||DTXSID7022679
58866|D-Xylose||DTXSID0023745
58899|(1alpha,2alpha,3beta,4alpha,5alpha,6beta)-1,2,3,4,5,6-Hexachlorocyclohexane|Pharmaceutical Personal Care Products (PPCPs);Endocrine Disrupting Chemicals (EDCs)|DTXSID2020686
